estrutura,tamanho,ordem,operacao,valor,tempo_ms
vetor,100,ordenada,insercao,all,0,006300
abb,100,ordenada,insercao,all,0,165540
avl,100,ordenada,insercao,all,0,224440
vetor,100,ordenada,busca,varios,0,001740
abb,100,ordenada,busca,varios,0,013280
avl,100,ordenada,busca,varios,0,002100
vetor,100,inversa,insercao,all,0,002740
abb,100,inversa,insercao,all,0,097680
avl,100,inversa,insercao,all,0,033260
vetor,100,inversa,busca,varios,0,001520
abb,100,inversa,busca,varios,0,005520
avl,100,inversa,busca,varios,0,002060
vetor,100,aleatoria,insercao,all,0,006300
abb,100,aleatoria,insercao,all,0,007960
avl,100,aleatoria,insercao,all,0,019560
vetor,100,aleatoria,busca,varios,0,001580
abb,100,aleatoria,busca,varios,0,000600
avl,100,aleatoria,busca,varios,0,002380
vetor,1000,ordenada,insercao,all,0,036000
abb,1000,ordenada,insercao,all,3,189200
avl,1000,ordenada,insercao,all,0,130100
vetor,1000,ordenada,busca,varios,0,002040
abb,1000,ordenada,busca,varios,0,032740
avl,1000,ordenada,busca,varios,0,001000
vetor,1000,inversa,insercao,all,0,024320
abb,1000,inversa,insercao,all,2,903980
avl,1000,inversa,insercao,all,0,380760
vetor,1000,inversa,busca,varios,0,002200
abb,1000,inversa,busca,varios,0,023100
avl,1000,inversa,busca,varios,0,000840
vetor,1000,aleatoria,insercao,all,0,022060
abb,1000,aleatoria,insercao,all,0,069580
avl,1000,aleatoria,insercao,all,0,109780
vetor,1000,aleatoria,busca,varios,0,002160
abb,1000,aleatoria,busca,varios,0,001500
avl,1000,aleatoria,busca,varios,0,000840
vetor,10000,ordenada,insercao,all,0,222500
abb,10000,ordenada,insercao,all,345,013660
avl,10000,ordenada,insercao,all,0,796780
vetor,10000,ordenada,busca,varios,0,002620
abb,10000,ordenada,busca,varios,0,171100
avl,10000,ordenada,busca,varios,0,001100
vetor,10000,inversa,insercao,all,0,046980
abb,10000,inversa,insercao,all,301,519580
avl,10000,inversa,insercao,all,0,660000
vetor,10000,inversa,busca,varios,0,003980
abb,10000,inversa,busca,varios,0,334880
avl,10000,inversa,busca,varios,0,006000
vetor,10000,aleatoria,insercao,all,0,062740
abb,10000,aleatoria,insercao,all,1,130360
avl,10000,aleatoria,insercao,all,1,517940
vetor,10000,aleatoria,busca,varios,0,002180
abb,10000,aleatoria,busca,varios,0,005080
avl,10000,aleatoria,busca,varios,0,005420
ordenacao,100,ordenada,bubble,all,0,115880
ordenacao,100,ordenada,quick,all,0,294500
ordenacao,100,inversa,bubble,all,0,131460
ordenacao,100,inversa,quick,all,0,015240
ordenacao,100,aleatoria,bubble,all,0,111540
ordenacao,100,aleatoria,quick,all,0,004280
ordenacao,1000,ordenada,bubble,all,0,013500
ordenacao,1000,ordenada,quick,all,0,536280
ordenacao,1000,inversa,bubble,all,1,359800
ordenacao,1000,inversa,quick,all,0,262660
ordenacao,1000,aleatoria,bubble,all,1,650940
ordenacao,1000,aleatoria,quick,all,0,032860
ordenacao,10000,ordenada,bubble,all,0,002560
ordenacao,10000,ordenada,quick,all,34,116900
ordenacao,10000,inversa,bubble,all,61,691900
ordenacao,10000,inversa,quick,all,25,515080
ordenacao,10000,aleatoria,bubble,all,84,316780
ordenacao,10000,aleatoria,quick,all,0,523520
